2021-07-31 05:05:08,"b'I finally upgraded to the #iPhone12Pro after holding off for so long on my #iPhoneSE since @Workpledge Brands\xe2\x84\xa2 are outfitted by #iOS solutions. I do like the experience so far, @Apple \xf0\x9f\x98\x8e'",b'tuanstpatricktv',"['iPhone12Pro', 'iPhoneSE', 'iOS']",1059
2021-07-30 22:06:08,b'Untouched. #iphoneSE  Gateway N. P. today. https://t.co/wO72i5ScHe',b'EPomphrey',['iphoneSE'],475
2021-07-30 17:38:00,"b'49% Off - JETech Case for #iPhoneSE 2020 2nd Generation, iPhone 8 and iPhone 7, 4.7-Inch, Shockproof Bumper Cover, Anti-Scratch Clear Back, Clear by JETech https://t.co/kTK8eAhrql  #electronics #technology #shopping'",b'hesheshopping',"['iPhoneSE', 'electronics', 'technology', 'shopping']",3480
2021-07-30 13:44:44,"b'#iPhoneSE PRODUCT (RED) \xf0\x9f\x94\xb4 di #Mediaworld a 159,90\xe2\x82\xac in da house!  \xf0\x9f\xa5\xb3 https://t.co/myiaaJc75s'",b'iLuca90',"['iPhoneSE', 'Mediaworld']",500
2021-07-30 13:30:01,b'Mes astuces iOS pour iPhone et iPad  #iOS15 #iOS14 #iPadOS14 #watchOS7 #astuces #guide  #iPhone12mini #iPhone12 #iPhone12Pro #iPhone12ProMax #iPhone11 #iPhone11Pro #iPhoneSE #iPhoneXR #iPhoneXS #iPhoneX  #AppleWatch  #iPadPro #iPadAir #iPad   #jcsatanas   https://t.co/2s7ZYpJIh5 https://t.co/Vw7QRdaJUi',b'jcsatanas',"['iOS15', 'iOS14', 'iPadOS14', 'watchOS7', 'astuces', 'guide', 'iPhone12mini', 'iPhone12', 'iPhone12Pro', 'iPhone12ProMax', 'iPhone11', 'iPhone11Pro', 'iPhoneSE', 'iPhoneXR', 'iPhoneXS', 'iPhoneX', 'AppleWatch', 'iPadPro', 'iPadAir', 'iPad', 'jcsatanas']",1316
2021-07-29 17:32:45,b'Apple wants to upgrade its low-cost model iPhone SE properly.   Know About iPhone SE 2022: The Third Edition Will Probably Get An A15 Processor-https://t.co/Wt1PKK8Zjy  #gadgets #Apple #iPhoneSE #A15Processor',b'gloss_tech',"['gadgets', 'Apple', 'iPhoneSE', 'A15Processor']",24
2021-07-29 15:03:50,"b""Do you love your #iPhoneSE\xe2\x9d\x93  With our vCommute protective case you are going to transform your #iPhone into a wallet\xe2\x80\xbc\xef\xb8\x8f  \xf0\x9f\x9b\x92 https://t.co/O6kT0x79Hh  \xf0\x9f\x91\x89Don't wait &amp; get yours on @BestBuy now\xe2\x9d\x97\xef\xb8\x8f https://t.co/TdwkE6GO8n""",b'venaproducts',"['iPhoneSE', 'iPhone']",5689
2021-07-29 14:50:00,"b'This year, make a commitment to being more eco-conscious with our ECO cases, constructed from natural wheat straw, to ensure your #iPhoneSE case is friendly to you &amp; the #environment\xf0\x9f\x92\x9a  \xf0\x9f\x9b\x92https://t.co/UkM43LENoF  Save both your #iPhone &amp; the #planet\xf0\x9f\x98\x8d'",b'venaproducts',"['iPhoneSE', 'environment', 'iPhone', 'planet']",5689
2021-07-29 13:47:00,"b'Fallen tree, Sefton Park, Liverpool. #photography #photo #bnwphotography #blackandwhite #blackandwhitephotography #blackandwhitephoto #blackandwhitephotos #monochromephotography #Monochrome #nature #naturalform #cameraphone #iPhoneSE #nature https://t.co/mcnekJOI2j'",b'GerrySimons',"['photography', 'photo', 'bnwphotography', 'blackandwhite', 'blackandwhitephotography', 'blackandwhitephoto', 'blackandwhitephotos', 'monochromephotography', 'Monochrome', 'nature', 'naturalform', 'cameraphone', 'iPhoneSE', 'nature']",96
2021-07-29 11:07:01,"b'I sit still a lot.. Before &amp; after pictures of my most recent #selfie #selfportrait #selfintrospection if you will, in #color &amp; #blackandwhite. No fancy camera, just me old n reliable #iPhoneSE iOS 14.6 version. No filters, just the usual sunlight and playing with contrast a bit. https://t.co/4StzLXqvTx'",b'iamvishtasp',"['selfie', 'selfportrait', 'selfintrospection', 'color', 'blackandwhite', 'iPhoneSE']",27
2021-07-29 06:15:04,b'Moon - faaaar out @jackhearn @helenhearn72 @newpaulhearn @Miss__Hunt @mishyensen73 #moon #opticron #iPhone #iPhoneSE https://t.co/U4fbNPfWg0',b'bingbongbong1',"['moon', 'opticron', 'iPhone', 'iPhoneSE']",45
2021-07-28 12:51:31,b'Apple hits record numbers as India \xe2\x80\x98shines\xe2\x80\x99 in its growth! Read the full report on our website! #skfidpl #skfindiadigitalpvtltd #tech #technews #Apple #AppleGrowth #AppleIphone #AppleIphone11 #IphoneSE #IphoneXR #TimCook https://t.co/FslyxoEZif',b'SKFIndiaDigital',"['skfidpl', 'skfindiadigitalpvtltd', 'tech', 'technews', 'Apple', 'AppleGrowth', 'AppleIphone', 'AppleIphone11', 'IphoneSE', 'IphoneXR', 'TimCook']",12
2021-07-28 09:25:39,"b""Numero's beautiful family \xf0\x9f\xa4\xa9 \xe2\x9c\x85 As daily news, we will present the specifications of the latest mobile devices that support eSIM, and on the first day, we will inform you about the specifications of both. \xf0\x9f\x91\x87\xf0\x9f\x91\x87 \xe2\x9c\x85#iPhoneSE  \xe2\x9c\x85#iPhone12ProMax https://t.co/Wcsggq0npI""",b'NumeroEnglish',"['iPhoneSE', 'iPhone12ProMax']",347
2021-07-27 16:17:58,b'#serene Shot with #iPhoneSE @Apple @tim_cook https://t.co/7lt1dxplnj',b'Thepandalapati',"['serene', 'iPhoneSE']",28
2021-07-27 15:38:43,b'The period of July-September is the best time for testing smartphone cameras. This one\xe2\x80\x99s from my iPhone SE. #iPhoneSE #clouds #photography https://t.co/ZAwRAjMMY9',b'amritanshu700',"['iPhoneSE', 'clouds', 'photography']",683
